source_tx,sort_nu,category_name,rest_layer_name,label_tx,field_nm,statistic_cd,units_tx,description_tx
Service2016,107,Protected Lands,Percent IUCN status II (106) ,Area classified as IUCN category II in the Protected Areas,PIUCN_II,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category II in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,108,Protected Lands,Percent IUCN status III (107) ,Area classified as IUCN category III in the Protected Area,PIUCN_III,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category III in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,109,Protected Lands,Percent IUCN status IV (108) ,Area classified as IUCN category IV in the Protected Areas,PIUCN_IV,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category IV in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,110,Protected Lands,Percent IUCN status V (109) ,Area classified as IUCN category V in the Protected Areas ,PIUCN_V,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category V in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,111,Protected Lands,Percent IUCN status VI (110) ,Area classified as IUCN category VI in the Protected Areas,PIUCN_VI,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category VI in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,112,Protected Lands,Percent land with any IUCN status (111) ,Area classified as IUCN classified areas,PIUCN_ALL,average,%,Percentage of WBD 12-digit Hydrologic Unit with IUCN classified areas in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,113,Landscape Pattern,Percent large size patches of natural land cover (112) ,"Large patches of natural land cover (>25,000 acres)",NATLarge,average,%,"Percent large patches of natural land cover (>25,000 acres) in 12-digit HUC."
Service2016,114,Landscape Pattern,Percent medium size patches of natural land cover (113) ,"Medium patches of natural land cover (500 - 25,000 acres)",NATMedium,average,%,"Percent medium patches of natural land cover (500 - 25,000 acres) in 12-digit HUC."
Service2016,115,Land Cover: Type,Percent natural land cover (114) ,Percent natural land cover,N_INDEX,average,%,"This map illustrates the percent of total land within each subwatershed (12-digit HUC) that has natural land cover. Natural land cover includes forests, shrubs, grasslands, barren land, and wetlands; it excludes agriculture and impervious surfaces."
Service2016,116,Land Cover: Near-Water,Percent natural land cover in stream buffer (115) ,Percent natural land cover in stream buffer,RNAT45,average,%,"This EnviroAtlas national map portrays the percent of land within 45 meters of streams, rivers, and other hydrologically-connected waterbodies (e.g., lakes and ponds) covered by natural land cover within each 12-digit hydrologic unit (HUC)."
Service2016,117,Landscape Pattern,Percent of rare ecosystem forms protected (116) ,Percent of rare ecosystem forms protected,Percent_Rare_Area_Protected,average,%,"This map estimates the percent of land within each subwatershed (12-digit HUC) that could be classified as rare ecosystem forms that is protected for 2011. Ecosystem rarity in EnviroAtlas is based on size, shape, and type of ecosystem."
Service2016,118,Land Cover: Near-Water,Percent of stream and shoreline with 15% or more impervious cover within 30 meters (117) ,Percent of stream and shoreline with 15% or more impervious cover within 30 meters,strlak15p,average,%,Percentage of stream and water body shoreline lengths that had impervious cover greater than or equal to 15% within 30 meters for 2011.
Service2016,119,Land Cover: Near-Water,Percent of stream and shoreline with 5% or more impervious cover within 30 meters (118) ,Percent of stream and shoreline with 5% of more impervious cover within 30 meters,strlak5p,average,%,Percentage of stream and water body shoreline lengths that had impervious cover greater than or equal to 5% within 30 meters for 2011.
Service2016,120,Land Cover: Type,Percent pasture (119) ,Percent pasture,PAGP,average,%,This map depicts the percent of land managed as pasture in each subwatershed (12-digit HUC). Pasture areas are planted for livestock grazing or the production of seed or hay crops.
Service2016,121,Wetlands and Lowlands,Percent potentially restorable wetlands on agricultural land (120) ,Percent potentially restorable wetlands on agricultural land,PctPRWAg,average,%,This map estimates the percent of land within each subwatershed (12-digit HUC) that may be suitable for wetland restoration.
Service2016,122,Landscape Pattern,Percent rare ecosystem forms (121) ,Percent rare ecosystem forms,Percent_of_HUC_Rare,average,%,"This map estimates the percent of land within each subwatershed (12-digit HUC) that could be classified as rare ecosystem forms for 2011. Ecosystem rarity in EnviroAtlas is based on size, shape, and type of ecosystem."
Service2016,123,Landscape Pattern,Percent small size patches of natural land cover (122) ,Small patches of natural land cover (<500 acres),NATSmall,average,%,Percent small patches of natural land cover (<500 acres) in 12-digit HUC.
Service2016,124,Land Cover: Type,Percent wetlands (123) ,Percent wetlands,PWETL,average,%,"This map depicts the percent of land comprised of woody and emergent herbaceous wetlands in each subwatershed (12-digit HUC). For this map, EnviroAtlas uses the National Land Cover Database and its definitions of woody and emergent herbaceous wetlands."
Service2016,125,"Water Supply, Runoff, and Flow",Stream density (km/km2) (124) ,Stream density (km/km2),StreamDensity,average,km/km2,This map estimates the drainage density within each subwatershed (12-digit HUC). The density is equal to the total stream length in kilometers within a subwatershed divided by its total area in square kilometers.
Service2016,126,"Water Supply, Runoff, and Flow",Stream length (km) (125) ,Stream length (km),TotalLength,sum,km,"This map estimates the total kilometers of streams, rivers, or other linear waterways within each subwatershed (12-digit HUC). It includes both natural and man-made water features, but excludes non-linear waterbodies such as lakes."
Service2016,127,Impaired Waters,Stream length impaired by mercury (km) (126) ,Stream length impaired by mercury (km),MercuryImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by mercury for 2015-2016.
Service2016,128,Impaired Waters,Stream length impaired by metals other than mercury (km) (127) ,Stream length impaired by metals other than mercury (km),MetalsImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired due to the presence of metals other than mercury in the water for 2015-2016.
Service2016,129,Impaired Waters,Stream length impaired by nuisance species (km) (128) ,Stream length impaired by nuisance species (km),NuisanceImpLen,sum,km,"This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by algal growth, noxious aquatic plants, and nuisance native or invasive plants, animals, fish, or microbes for 2015-2016."
Service2016,130,Impaired Waters,Stream length impaired by nutrients (km) (129) ,Stream length impaired by nutrients (km),NutImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired due to the presence of nutrients in the water for 2015-2016.
Service2016,131,Impaired Waters,Stream length impaired by organic enrichment or oxygen depletion (km) (130) ,Stream length impaired by organic enrichment or oxygen depletion (km),OrgEnrO2DepImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by excessive organic materials or reduced oxygen for 2015-2016.
Service2016,132,Impaired Waters,Stream length impaired by pathogens (km) (131) ,Stream length impaired by pathogens (km),PathogenImpLen,sum,km,"This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by microbes, such as bacteria, that can spread disease for 2015-2016."
Service2016,133,Impaired Waters,Stream length impaired by pesticides (km) (132) ,Stream length impaired by pesticides (km),PesticidesImpLen,sum,km,"This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by pesticides, such as herbicide and insecticide for 2015-2016."
Service2016,134,Impaired Waters,"Stream length impaired by pH, acidity, or caustic conditions (km) (133) ","Stream length impaired by pH, acidity, or caustic conditions (km)",pHImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired due to being too acidic or too alkaline for 2015-2016.
Service2016,135,Impaired Waters,Stream length impaired by sediment or turbidity (km) (134) ,Stream length impaired by sediment or turbidity (km),SedTurbImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired by sediment or turbidity for 2015-2016.
Service2016,136,Impaired Waters,Stream length impaired for temperature (km) (135) ,Stream length impaired for temperature (km),TempImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired for having higher than average temperature for 2015-2016.
Service2016,137,Impaired Waters,Stream length with any other impairment (km) (136) ,Stream length with any other impairment (km),OtherImpLen,sum,km,"This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired due to any other cause, including flow alterations, habitat alterations, ammonia, biotoxins, chlorine, dioxins, oil and grease, PCBs, radiation, salinity, toxic substances, trash, taste, color, or odor for 2015-2016."
Service2016,138,Impaired Waters,Stream length with impaired biota (km) (137) ,Stream length with impaired biota (km),BiotaImpLen,sum,km,This map depicts the total stream length in kilometers within the subwatershed (12-digit HUC) that has been listed as impaired for biota. Biota or biological impairment is an indication of water quality and not necessarily the source of impairment.
Service2016,139,Pollutants: Nutrients,Synthetic nitrogen fertilizer application (kg N/ha/yr) (138) ,Synthetic nitrogen fertilizer application,SNFA_MEAN,average,kg-N/ha per year,This map depicts the mean rate of synthetic nitrogen fertilizer application to agricultural lands within each subwatershed (12-digit HUC) in kg N/ha/yr.
Service2016,140,Pollutants: Nutrients,Total annual nitrogen deposition (kg/ha) (139) ,Total annual nitrogen deposition,TD_N_T,sum,kg-N/ha per year,This map estimates the total annual deposition of nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. This map includes both dry and wet deposition of oxidized and reduced nitrogen.
Service2016,141,Pollutants: Nutrients,Total annual oxidized nitrogen deposition (kg/ha) (140) ,Total annual oxidized nitrogen deposition ,TD_OXN_T,sum,kg-N/ha per year,This map estimates the annual deposition of oxidized nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. This map includes both dry and wet deposition of oxidized nitrogen.
Service2016,142,Pollutants: Nutrients,Total annual reduced nitrogen deposition (kg/ha) (141) ,Total annual reduced nitrogen deposition ,TD_REDN_T,sum,kg-N/ha per year,This map estimates the annual deposition of reduced nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. This map includes both dry and wet deposition of reduced nitrogen.
Service2016,143,Pollutants: Nutrients,Total annual sulfur deposition (kg/ha) (142) ,Total Deposition of Total Sulfur,TD_S_T,sum,kg-S/ha per year,Total Deposition of Total Sulfur (kg-S/ha)
Service2016,144,Species: At-Risk and Priority,Total number of at-risk aquatic species observed (143) ,Total number of at-risk aquatic species,N/A,sum,count,"This map illustrates the total number of species associated with aquatic habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC)."
Service2016,145,Species: At-Risk and Priority,Total number of at-risk terrestrial species observed (144) ,Total number of at-risk terrestrial species,N/A,sum,count,"This map illustrates the total number of species associated with terrestrial habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC). G1 and G2 denote Global Conservation Ranks classified by NatureServe. Terrestrial habitat refers to land areas such as forests, grasslands, deserts and rainforests."
Service2016,146,Species: At-Risk and Priority,Total number of at-risk wetland species observed (145) ,Total number of at-risk wetland species,N/A,sum,count,"This map illustrates the total number of species associated with wetland habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC). G1 and G2 denote Global Conservation Ranks classified by NatureServe."
Service2016,147,Crop Productivity ,Value of cotton crops (dollars/yr) (146) ,Cotton sales,COT_DOLS,sum,dollars per year,Cotton sales in dollars annually
Service2016,148,Crop Productivity ,Value of grain crops (dollars/yr) (147) ,Grain sales,GRAIN_DOLS,sum,dollars per year,"Grain ( corn, barley, cotton, durum wheat, oats, rye, rice, sorghum, spring wheat, soybeans, and winter wheat) sales in dollars annually"
Service2016,149,Crop Productivity ,Vegetable yields (thousand tons/yr) (148) ,Vegetable yields (thousands tons/yr),VEGYIELD,sum,thousands of tons per year,This map depicts the thousands of tons of vegetable crops that are grown annually within each subwatershed (12-digit HUC).
Service2016,150,"Water Supply, Runoff, and Flow",Water supply from NID reservoirs (million gallons) (149) ,Water supply from NID reservoirs (million gallons),NIDamMGAL,sum,million gallons,"This map estimates the millions of gallons of surface water in each subwatershed (12-digit HUC) that is contained in the 2009 National Inventory of Dams reservoirs and/or behind dams. This map only estimates volume and does not take into account water rights, designated uses, or previous appropriations."
Service2016,151,"Water Supply, Runoff, and Flow",Waterbody area (km2) (150) ,Waterbody Area,WaterbodyArea,sum,km2,"Total area of all waterbodies (square kilometers), from the high-resolution NHDWaterbody dataset."
Service2016,152,Species: At-Risk and Priority,Maximum rare amphibian species richness (151) ,Maximum rare amphibian species richness,Amph_Rare_Max,sum,count,"These maps model the number of rare amphibian species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index) for 2001. Rare species were the 25% of amphibian species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,153,Species: At-Risk and Priority,Mean rare amphibian species richness (152) ,Mean rare amphibian species richness,Amph_Rare_Mean,sum,count,"These maps model the number of rare amphibian species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index) for 2001. Rare species were the 25% of amphibian species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,154,Species: At-Risk and Priority,NIB rare amphibian species richness (153) ,Index of rare amphibian species richness,Amph_Rare_NIB,average,unitless,"These maps model the number of rare amphibian species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index) for 2001. Rare species were the 25% of amphibian species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,155,Species: At-Risk and Priority,Maximum rare bird species richness (154) ,Maximum rare bird species richness,Bird_Rare_Max,sum,count,"This map models the maximum number of rare bird species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of bird species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,156,Species: At-Risk and Priority,Mean rare bird species richness (155) ,Mean rare bird species richness,Bird_Rare_Mean,average,count,"This map models the average number of rare bird species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of bird species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations."
Service2016,157,Species: At-Risk and Priority,NIB rare bird species richness (156) ,Index of rare bird species richness,Bird_Rare_NIB,average,unitless,"This map depicts an index value of rare bird species richness for a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of bird species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,158,Species: Other,Maximum summer bird species richness (157) ,Maximum summer bird species richness,Bird_Summer_Max,sum,count,"This map models the maximum number of bird species that are likely to be present during the summer in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,159,Species: Other,Mean summer bird species richness (158) ,Mean summer bird species richness,Bird_Summer_Mean,average,count,"This map models the average number of bird species that are likely to be present during the summer in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations."
Service2016,160,Species: Other,NIB summer bird species richness (159) ,Index of summer bird species richness,Bird_Summer_NIB,average,unitless,"This map depicts an index value of bird species richness during the summer for a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,161,Species: Other,Maximum winter bird species richness (160) ,Maximum winter bird species richness,Bird_Winter_Max,sum,count,"This map models the maximum number of bird species that are likely to be present during the winter in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,162,Species: Other,Mean winter bird species richness (161) ,Mean winter bird species richness,Bird_Winter_Mean,average,count,"This map models the average number of bird species that are likely to be present during the winter in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations."
Service2016,163,Species: Other,NIB winter bird species richness (162) ,Index of winter bird species richness,Bird_Winter_NIB,average,unitless,"This map depicts an index value of bird species richness during the winter for a subwatershed (12-digit HUC) in the Conterminous US for 2001. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,164,Species: At-Risk and Priority,"Maximum modeled G1, G2, G3 species (163) ","Maximum modeled G1, G2, and G3 species",G1G2G3_Spec_Max,sum,count,"This map models the maximum number of NatureServe Globally Ranked Species (G1, G2, and G3) that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,165,Species: At-Risk and Priority,"Mean modeled G1, G2, G3 species (164) ","Mean modeled G1, G2, and G3 species",G1G2G3_Spec_Mean,average,count,"This map models the average number of NatureServe Globally Ranked Species (G1, G2, and G3) that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations."
Service2016,166,Species: At-Risk and Priority,"NIB modeled G1, G2, G3 species (165) ","Index of modeled G2, G2, and G3 species",G1G2G3_Spec_NIB,average,unitless,"This map depicts an index value of NatureServe Globally Ranked Species (G1, G2, and G3) richness for a subwatershed (12-digit HUC) for 2001. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,167,Species: At-Risk and Priority,Maximum modeled IUCN threatened terrestrial vertebrate species (166) ,Maximum modeled IUCN threatened terrestrial vertebrate species,IUCN_End_Max,sum,count,"This map models the maximum number of species listed as endangered by the International Union for Conservation of Nature (IUCN) that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,168,Species: At-Risk and Priority,Mean modeled IUCN threatened terrestrial vertebrate species (167) ,Mean modeled IUCN threated terrestrial vertebrate species,IUCN_End_Mean,average,count,"This map models the average number of species listed as endangered by the International Union for Conservation of Nature (IUCN) that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations."
Service2016,169,Species: At-Risk and Priority,NIB modeled IUCN threatened terrestrial vertebrate species (168) ,Index of modeled IUCN threated terrestrial vertebrate species,IUCN_End_NIB,average,unitless,"This map depicts an index value of International Union for Conservation of Nature (IUCN)-listed endangered species richness for a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,170,Species: At-Risk and Priority,Maximum rare mammal species richness (169) ,Maximum rare mammal species richness,Mam_Rare_Max,sum,count,"This map models the maximum number of rare mammal species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of mammal species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,171,Species: At-Risk and Priority,Mean rare mammal species richness (170) ,Mean rare mammal species richness,Mam_Rare_Mean,average,count,"This map models the average number of rare mammal species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of mammal species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations."
Service2016,172,Species: At-Risk and Priority,NIB rare mammal species richness (171) ,Index of rare mammal species richness,Mam_Rare_NIB,average,unitless,"This map depicts an index value of rare mammal species richness for a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of mammal species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,173,Species: At-Risk and Priority,Maximum modeled Partners in Amphibian and Reptile Conservation (PARC) species (172) ,Maximum modeled Partners in Amphibian and Reptile (PARC) species,PARC_Max,sum,count,"This map models the maximum number of Partners in Amphibian and Reptile Conservation (PARC) species listed as either threatened and endangered, G1-G3 or IUCN that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,174,Species: At-Risk and Priority,Mean modeled Partners in Amphibian and Reptile Conservation (PARC) species (173) ,Mean modeled Partners in Amphibian and Reptile Conservation (PARC) species,PARC_Mean,average,count,"This map models the average number of Partners in Amphibian and Reptile Conservation (PARC) species listed as either threatened and endangered, G1-G3 or IUCN that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations."
Service2016,175,Species: At-Risk and Priority,NIB modeled Partners in Amphibian and Reptile Conservation (PARC) species (174) ,Index of modeled Partners in Amphibian and Reptile Conservation (PARC) species,PARC_NIB,average,unitless,"This map depicts an index value of Partners in Amphibian and Reptile Conservation (PARC) species richness for a subwatershed (12-digit HUC) for 2001. These species are listed as either threatened and endangered, G1-G3 or IUCN. G1 species are critically imperiled, G2 species are imperiled, and G3 species are vulnerable. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,176,Species: At-Risk and Priority,Maximum common bird species in steep decline (175) ,Maximum common bird species in steep decline,PIF_CSD_Max,sum,count,"This map models the maximum number of species listed by Partners in Flight as common species in steep decline that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,177,Species: At-Risk and Priority,Mean common bird species in steep decline (176) ,Mean common bird species in steep decline,PIF_CSD_Mean,average,count,"This map models the mean number of species listed by Partners in Flight as common species in steep decline that are likely to be present in any single location within a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations"
Service2016,178,Species: At-Risk and Priority,NIB common bird species in steep decline (177) ,Index of common bird species in steep decline,PIF_CSD_NIB,average,unitless,"This map depicts an index value of the richness of species listed by Partners in Flight as common species in steep decline for a subwatershed (12-digit HUC) for 2001. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC"
Service2016,179,Species: At-Risk and Priority,Maximum rare reptile species richness (178) ,Maximum rare reptile species richness,Rep_Rare_Max,sum,count,"This map models the maximum number of rare reptile species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of reptile species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,180,Species: At-Risk and Priority,Mean rare reptile species richness (179) ,Mean rare reptile species richness,Rep_Rare_Mean,average,count,"This map models the average number of rare reptile species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of reptile species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations."
Service2016,181,Species: At-Risk and Priority,NIB rare reptile species richness (180) ,Index of rare reptile species richness,Rep_Rare_NIB,average,unitless,"This map depicts an index value of rare reptile species richness for a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of reptile species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2016,182,Species: At-Risk and Priority,Maximum rare vertebrate species richness (181) ,Maximum rare vertebrate species richness,TerrVert_Rare_Max,sum,count,"This map models the maximum number of rare terrestrial vertebrate species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of vertebrate species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,183,Species: At-Risk and Priority,Mean rare vertebrate species richness (182) ,Mean rare vertebrate species richness,TerrVert_Rare_Mean,average,count,"This map models the average number of rare terrestrial vertebrate species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of vertebrate species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations."
Service2016,184,Species: At-Risk and Priority,NIB rare vertebrate species richness (183) ,Index of rare vertebrate species richness,TerrVert_Rare_NIB,average,unitless,"This map depicts an index value of rare terrestrial vertebrate species richness for a subwatershed (12-digit HUC) in the Conterminous US for 2001. Rare species were the 25% of vertebrate species with the smallest amount of predicted habitat. This map is based on habitat models, not wildlife observations. The index value is based on average values determined for each HUC."
Service2017,185,Land Cover: Near-Water,Average width of stream buffers downstream from agriculture (0),Average width of stream buffers downstream from agriculture,Avg_Buff_Width,average,meters,The average width in meters of buffers that are contiguous to the stream and are intersected by agricultural flow paths. This metric does not include any riparian areas that do not also contain agriculture upslope.
Service2017,186,Landscape Pattern,Candidate Ecological Restoration Areas per square kilometer (1),Candidate Ecological Restoration Areas per square kilometer,CERA_per_km2,sum,count,This map depicts the number of Candidate Ecological Restoration Areas (CERAs) per square kilometer. CERAs are areas that could be restored to connect large vegetated areas. They were identified using morphological spatial pattern analysis.
Service2017,187,Pollutant Reduction: Water,Crop phosphorus removal (kg P/ha/yr) (2),Crop phosphorous removal (kgP/ha/yr),Crop_P_removal_kg_ha,average,kg-P/ha/yr,This map estimates the mean crop phosphorus (P) removal from croplands in kilograms P per hectare per year within each subwatershed (12-digit HUC) for 2012.
Service2017,188,Pollutants: Nutrients,Dissolved nitrogen in non-tile drain subsurface flow from agricultural fields (tons) (3),Dissolved nitrogen in non-tile drain subsurface flow from agricultural fields (tons),Ag_N_NonTile_SSF,sum,metric tons per year,This map provides modeled estimates of the movement (flux) of nitrogen dissolved in sub-surface (lateral) flow at the outer edges of non-tile drained agricultural fields within each subwatershed (12-digit HUC) in metric tons of N for 2002. It includes nitrogen from fertilizer application and atmospheric deposition.
Service2017,189,Pollutants: Nutrients,Dissolved nutrients in surface runoff from agricultural fields (tons) Nitrogen (4),Dissolved nutrients in surface runoff from agricultural fields (tons) Nitrogen,Ag_N_Runoff,sum,metric tons per year,This map provides modeled estimates of the movement (flux) of nitrogen dissolved in surface runoff at the outer edges of all agricultural fields within each subwatershed (12-digit HUC) in metric tons of N for 2002. It includes nitrogen from fertilizer application and atmospheric deposition.
Service2017,190,Pollutants: Nutrients,Dissolved nutrients in surface runoff from agricultural fields (tons) Phosphorus (5),Dissolved nutrients in surface runoff from agricultural fields (tons) Phosphorous,Ag_P_Runoff,sum,metric tons per year,This map provides modeled estimates of the movement (flux) of phosphorus dissolved in surface runoff at the outer edges of all agricultural fields within each subwatershed (12-digit HUC) in metric tons of P for 2002. It includes phosphorus from fertilizer application and atmospheric deposition.
Service2017,191,Pollutants: Nutrients,Dissolved nutrients in leachate from agricultural fields (tons) Nitrogen (6),Dissolved nutrients in leachate from agricultural fields (tons) Nitrogen ,Ag_N_Leachate,sum,metric tons per year,"This map provides modeled estimates of nitrogen leachate, i.e., mass of nitrogen dissolved in percolate moving downward out of the soil layer underlying agricultural fields within each subwatershed (12-digit HUC) in metric tons of N for 2002. It does not necessarily reflect the amount of nitrogen that actually enters an underlying groundwater reservoir."
Service2017,192,Pollutants: Nutrients,Dissolved nutrients in leachate from agricultural fields (tons) Phosphorus (7),Dissolved nutrients in leachate from agricultural fields (tons) Phosphorous,Ag_P_Leachate,sum,metric tons per year,"This map provides modeled estimates of phosphorus leachate, i.e., mass of phosphorus dissolved in percolate moving downward out of the soil layer underlying agricultural fields within each subwatershed (12-digit HUC) in metric tons of P for 2002. It does not necessarily reflect the amount of nitrogen that actually enters an underlying groundwater reservoir."
Service2017,193,Pollutants: Nutrients,Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Nitrogen (8),Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Nitrogen,Ag_N_Tile_SSF,sum,metric tons per year,This map provides modeled estimates of the movement (flux) of nitrogen dissolved in sub-surface (lateral) flow at the outer edges of tile drained agricultural fields within each subwatershed (12-digit HUC) in metric tons of N for 2002. It includes nitrogen from fertilizer application and atmospheric deposition.
